114.215.157.195 - - [29/Dec/2014:04:10:17 -0500] "GET / HTTP/1.1" 200 11250
91.237.52.242 - - [29/Dec/2014:05:44:46 -0500] "GET /testproxy.php HTTP/1.1" 404 1020
92.246.29.204 - - [29/Dec/2014:09:40:10 -0500] "GET /cgi-bin/authLogin.cgi HTTP/1.1" 404 1036
92.246.29.204 - - [29/Dec/2014:09:40:10 -0500] "  " 400 -
196.212.76.50 - - [29/Dec/2014:13:32:49 -0500] "GET /cgi-bin/authLogin.cgi HTTP/1.1" 404 1036
196.212.76.50 - - [29/Dec/2014:13:32:49 -0500] "  " 400 -
91.2.73.144 - - [29/Dec/2014:16:19:05 -0500] "GET /cgi-bin/authLogin.cgi HTTP/1.1" 404 1036
91.2.73.144 - - [29/Dec/2014:16:19:05 -0500] "  " 400 -
59.124.87.207 - - [29/Dec/2014:16:48:27 -0500] "GET /cgi-bin/authLogin.cgi HTTP/1.1" 404 1036
59.124.87.207 - - [29/Dec/2014:16:48:27 -0500] "  " 400 -
86.21.156.146 - - [29/Dec/2014:17:14:28 -0500] "GET /cgi-bin/authLogin.cgi HTTP/1.1" 404 1036
86.21.156.146 - - [29/Dec/2014:17:14:28 -0500] "  " 400 -
216.134.230.120 - - [29/Dec/2014:17:36:31 -0500] "GET /manager/html HTTP/1.1" 401 2474
216.134.230.120 - admin [29/Dec/2014:17:36:43 -0500] "GET /manager/html HTTP/1.1" 200 17642
193.189.116.124 - - [29/Dec/2014:21:24:00 -0500] "GET /sprawdza.php HTTP/1.1" 404 1018
31.5.55.9 - - [29/Dec/2014:21:32:17 -0500] "GET /cgi-bin/authLogin.cgi HTTP/1.1" 404 1036
31.5.55.9 - - [29/Dec/2014:21:32:17 -0500] "  " 400 -
104.149.220.58 - - [29/Dec/2014:21:38:49 -0500] "GET /manager/html HTTP/1.1" 401 2474
104.149.220.58 - - [29/Dec/2014:21:38:49 -0500] "GET /manager/html HTTP/1.1" 401 2474
104.149.220.58 - - [29/Dec/2014:21:38:49 -0500] "GET /manager/html HTTP/1.1" 401 2474
104.149.220.58 - - [29/Dec/2014:21:38:49 -0500] "GET /manager/html HTTP/1.1" 401 2474
104.149.220.58 - - [29/Dec/2014:21:38:49 -0500] "GET /manager/html HTTP/1.1" 401 2474
104.149.220.58 - - [29/Dec/2014:21:38:49 -0500] "GET /manager/html HTTP/1.1" 401 2474
